user,link,text,created_at,#likes,#comments,#retweets
Virat Kohli,https://twitter.com/imVkohli/status/1731538824315174944#m,Why settle for one thing when you can have it all? My choice is clear- Colorfit Pro 5. Everything I want in my smartwatch. What about you? #EverythingForEveryone @gonoise #ad,"Dec 4, 2023 · 5:00 AM UTC",16847,632,1300
Virat Kohli,https://twitter.com/imVkohli/status/1730822129460060629#m,"WTF! Am I being Delulu? If yes, then this is definitely the Solulu!😂 Click here to get started! -- 🔗 https://bit.ly/3GmN2XN #WrognThrowawayFestival #StayWrogn #ad @StayWrogn @Flipkart","Dec 2, 2023 · 5:32 AM UTC",18065,759,1532
Virat Kohli,https://twitter.com/imVkohli/status/1729726884878168097#m,"The good news is that O’cean Fruit Water has a new Lively Lychee flavour. The great news is, drinking it can get you to meet me in person. And that’s no trick!  Use VK10 for 10% off @ oceanbeverages.in  Available at nearest stores & e-commerce platforms @OceanBeverages #ad","Nov 29, 2023 · 5:00 AM UTC",24950,909,1821
Virat Kohli,https://twitter.com/imVkohli/status/1721450997980291341#m,Thanks to each one of you for your kind wishes. ✨ Grateful and Blessed. 🙏,"Nov 6, 2023 · 8:54 AM UTC",263347,10501,20660
Virat Kohli,https://twitter.com/imVkohli/status/1716436377150296392#m,Deeply saddened to hear about the passing of Bishan Singh Bedi ji. My condolences to the family 🙏🏽,"Oct 23, 2023 · 12:48 PM UTC",135030,3174,8440
Virat Kohli,https://twitter.com/imVkohli/status/1712802184197497285#m,Usain paaji! Getting ready for tomorrow with a few extra 100m sprints if you’re watching 😉,"Oct 13, 2023 · 12:07 PM UTC",122977,2170,7391
Virat Kohli,https://twitter.com/imVkohli/status/1709169897354494063#m,Blue has always looked good on me 👀🇮🇳  #ChampionsOfTheWater #PAIDPARTNERSHIP #TEAMOWNER @E1Series,"Oct 3, 2023 · 11:33 AM UTC",43186,1042,2526
Virat Kohli,https://twitter.com/imVkohli/status/1709127951235850535#m,I’m coming to win 👊  I am so excited to be joining the @E1series with my own team ahead of Season One in 2024!  Let’s go Blue Rising 💙  #ChampionsOfTheWater #E1Series #PAIDPARTNERSHIP #TEAMOWNER,"Oct 3, 2023 · 8:47 AM UTC",44405,1525,2970
Virat Kohli,https://twitter.com/imVkohli/status/1708446377599246744#m,"Get double the excitement with @oceanbeverages. A new Lively Lychee flavor and an awesome promo to go with it.  Win Gear, match tickets, a chance to meet me and an assured free subscription to my One8 fitness app.   Use VK10 for 10% off @ oceanbeverages.in #OceanDrinks #ad","Oct 1, 2023 · 11:38 AM UTC",25739,789,1700
Virat Kohli,https://twitter.com/imVkohli/status/1708346001273315593#m,".@oceanbeverages has launched the Lively Lychee flavour in a cool #CheerforIndia edition. Packed with electrolytes & B vitamins, it offers ‘Hydrate. Scan. Win.’ promo. Win Gear, match tickets or a chance to meet me. Use VK10 for 10% off @ oceanbeverages.in #OceanDrinks #ad","Oct 1, 2023 · 5:00 AM UTC",30100,844,1906
Virat Kohli,https://twitter.com/imVkohli/status/1707705543702589452#m,Think this definitely is a 💯% score. What do you guys think? 🤔 #PUMADive #ad,"Sep 29, 2023 · 10:35 AM UTC",62276,1161,3891
Virat Kohli,https://twitter.com/imVkohli/status/1706898505560981624#m,History-makers 🇮🇳🥇📖✍️,"Sep 27, 2023 · 5:08 AM UTC",197454,1918,11056
